SeqId,SomaId,Target Name,Target Full Name,UniProt ID,Type,Organism,Dilution,Apparent Kd (M),LoDB (RFU),Signal To Noise Plasma,Intra-Plate CV Plasma,Inter-Plate CV Plasma,Total CV Plasma,Correlation Plasma,F-Statistic Plasma,Lower 95% Normal Plasma (RFU),Median Normal Plasma (RFU),Upper 95% Normal Plasma (RFU),Signal To Noise Serum,Intra-Plate CV Serum,Inter-Plate CV Serum,Total CV Serum,Correlation Serum,F-Statistic Serum,Lower 95% Normal Serum (RFU),Median Normal Serum (RFU),Upper 95% Normal Serum (RFU),Characterization Info,Orthogonal Strategies,MRM-MS Data,DDA-MS Data,Genetic Strategies,Entrez Gene Name,Entrez Gene ID,Ensembl Gene ID,HGNC ID,SELEX Target Name,SELEX UniProt ID,Serum Scalar v4.0 to v4.1,Serum Lin's CCC,Plasma Scalar v4.0 to v4.1,Plasma Lin's CCC
14070-56,SL018907,ITSN1,Intersectin-1,Q15811,Protein,Human,20%,3.67E-11,123,7.177,0.05,0.054,0.074,0.902,33.407,1016,1329,2348,16.609,0.018,0.039,0.043,0.887,9.792,1219,1457,2459,,,,,,ITSN1,6453,ENSG00000205726,HGNC:6183,,,1.323,0.929,0.984,0.888
14074-2,SL020307,SHC2,SHC-transforming protein 2,P98077,Protein,Human,20%,4.67E-12,64,3.548,0.036,0.028,0.046,0.802,221.876,229,295,661,7.857,0.011,0.01,0.015,0.855,32.864,332,374,732,,,,,,SHC2,25759,ENSG00000129946,HGNC:29869,,,1.315,0.929,0.85,0.929
14076-74,SL007888,Cystatin-S,Cystatin-S,P01036,Protein,Human,20%,6.99E-11,2303,2.676,0.041,0.036,0.054,0.845,1.033,274,545,1542,0.212,0.083,0.064,0.104,0.919,21.151,404,674,2259,"No binding was observed with Cystatin-SN, Cystatin-D, Cystatin-C or Cystatin-SA.",,,,30072576,CST4,1472,ENSG00000101441,HGNC:2476,,,1.268,0.912,0.855,0.89
14079-14,SL004152,IL-18 Ra,Interleukin-18 receptor 1,Q13478,Protein,Human,20%,1.79E-12,108,53.245,0.031,0.026,0.04,0.874,27.656,3568,6900,13030,59.04,0.021,0.017,0.027,0.872,18.721,4423,6252,11288,No closely related human proteins were available for specificity testing.,29875488,,,30072576|29875488,IL18R1,8809,ENSG00000115604,HGNC:5988,,,0.789,0.908,0.396,0.865
14082-56,SL016540,TLN2,Talin-2,Q9Y4G6,Protein,Human,20%,2.45E-11,142,16.469,0.025,0.069,0.074,0.95,50.524,1581,3587,8259,14.486,0.017,0.03,0.035,0.816,3.132,1548,1783,2476,,,,,,TLN2,83660,ENSG00000171914,HGNC:15447,,,1.206,0.969,0.933,0.9
14083-25,SL020314,SPS1,"Selenide, water dikinase 1",P49903,Protein,Human,20%,2E-12,233,48.74,0.027,0.029,0.039,0.909,10.552,9854,21522,43162,37.585,0.022,0.015,0.027,0.917,44.116,7878,11297,33032,,,,30072576,,SEPHS1,22929,ENSG00000086475,HGNC:19685,,,1.236,0.958,0.837,0.915
14084-191,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,Protein,Mouse,0.5%,,63,16.393,0.045,0.052,0.069,0.928,10.729,749,1317,3186,21.997,0.019,0.02,0.028,0.951,31.523,862,1458,3176,,,,,,Igh,,,,ICOS,Q9Y6W8,1.327,0.97,1.053,0.95
14088-38,SL005172,IGFBP-6,Insulin-like growth factor-binding protein 6,P24592,Protein,Human,0.5%,2.59E-12,92,947.266,0.082,0.049,0.095,0.654,3.158,67097,100085,144601,1141.767,0.074,0.038,0.083,0.728,4.15,73718,102189,155015,"No binding was observed with Insulin-like growth factor-binding protein 1, Insulin-like growth factor-binding protein 2, Insulin-like growth factor-binding protein 3, Insulin-like growth factor-binding protein 4, Insulin-like growth factor-binding protein 5 or Insulin-like growth factor-binding protein 7.",31120518,,30072576,30072576,IGFBP6,3489,ENSG00000167779,HGNC:5475,,,1.091,0.774,0.841,0.669
14090-23,SL020308,DEFI6,Differentially expressed in FDCP 6 homolog,Q9H4E7,Protein,Human,20%,8.01E-12,134,15.089,0.02,0.019,0.028,0.958,17.893,1486,3780,7999,16.31,0.018,0.022,0.029,0.98,370.444,1375,2355,5723,,,,30072576,30072576,DEF6,50619,ENSG00000023892,HGNC:2760,,,1.153,0.98,0.782,0.9
14091-42,SL005371,Carbonyl reductase 3,Carbonyl reductase [NADPH] 3,O75828,Protein,Human,20%,2.65E-12,110,16.484,0.031,0.036,0.048,0.858,23.969,1673,2966,5469,16.121,0.029,0.046,0.054,0.957,13.27,1084,1716,2830,,,,30072576,29875488|30072576,CBR3,874,ENSG00000159231,HGNC:1549,,,1.156,0.941,0.703,0.894
14093-10,SL004343,Flt3 ligand,Fms-related tyrosine kinase 3 ligand,P49771,Protein,Human,20%,4.74E-11,96,9.817,0.02,0.031,0.037,0.776,467.691,1015,1198,1818,16.978,0.013,0.019,0.023,0.824,9.489,1163,1300,1826,No closely related human proteins were available for specificity testing.,,,,,FLT3LG,2323,ENSG00000090554,HGNC:3766,,,1.298,0.949,0.922,0.92
14094-29,SL000138,HB-EGF,Heparin-binding EGF-like growth factor,Q99075,Protein,Human,20%,4.35E-12,50,46.273,0.03,0.028,0.041,0.96,103.276,576,3173,8238,278.27,0.033,0.028,0.043,0.779,13.642,3085,6911,12344,No closely related human proteins were available for specificity testing.,29875488,,,30072576|29875488,HBEGF,1839,ENSG00000113070,HGNC:3059,,,1.047,0.965,0.687,0.926
14095-1,SL005204,NKG2D,NKG2-D type II integral membrane protein,P26718,Protein,Human,20%,1.7E-11,67,3.095,0.031,0.022,0.038,0.765,5.183,210,257,609,7.078,0.016,0.019,0.025,0.726,21.972,318,354,871,,,,,,KLRK1,100528032,ENSG00000213809,HGNC:18788,,,1.791,0.91,1.133,0.921
14098-28,SL020309,SYCC,"Cysteine--tRNA ligase, cytoplasmic",P49589,Protein,Human,20%,2E-11,96,30.404,0.019,0.025,0.032,0.905,10.505,2780,6294,11218,27.934,0.015,0.015,0.021,0.892,16.895,1917,2429,3419,,,,,30072576,CARS1,833,ENSG00000278191|ENSG00000110619,HGNC:1493,,,1.294,0.91,0.837,0.92
14099-20,SL009468,PSA4,Proteasome subunit alpha type-4,P25789,Protein,Human,20%,4.1E-11,99,3.753,0.022,0.043,0.048,0.921,202580.475,352,454,2162,6.641,0.016,0.026,0.03,0.74,130.964,418,486,1882,,,,,,PSMA4,5685,ENSG00000041357,HGNC:9533,,,1.453,0.935,0.915,0.922
14100-63,SL007929,C1QC,Complement C1q subcomponent subunit C,P02747,Protein,Human,20%,1.22E-10,93,11.524,0.023,0.031,0.038,0.954,113.209,688,1164,2964,15.793,0.025,0.027,0.037,0.828,130.155,784,1238,2711,,,,30072576,29875488|30072576,C1QC,714,ENSG00000159189,HGNC:1245,,,1.195,0.97,0.779,0.905
14101-2,SL005153,CNTFR alpha,Ciliary neurotrophic factor receptor subunit alpha,P26992,Protein,Human,0.5%,4.29E-11,58,12.266,0.033,0.028,0.043,0.876,16.635,541,781,1182,14.907,0.026,0.024,0.035,0.869,14.016,618,881,1226,No closely related human proteins were available for specificity testing.,,,30072576,29875488|30072576,CNTFR,1271,ENSG00000122756,HGNC:2170,,,0.951,0.876,0.781,0.806
14106-46,SL003682,GDP/GTP exchange protein,Rap1 GTPase-GDP dissociation stimulator 1,P52306,Protein,Human,20%,4.13E-11,94,5.573,0.017,0.014,0.022,0.909,23.786,516,882,1616,8.148,0.015,0.012,0.019,0.744,4.043,505,571,835,,,,,,RAP1GDS1,5910,ENSG00000138698,HGNC:9859,,,1.595,0.879,1.389,0.901
14107-1,SL020315,MTHFS,5-formyltetrahydrofolate cyclo-ligase,P49914,Protein,Human,20%,1.05E-12,88,154.745,0.032,0.034,0.047,0.959,54.987,6168,30172,60390,74.75,0.051,0.047,0.07,0.937,0.623,3317,5832,12568,,,,30072576,29875488|30072576,MTHFS,10588,ENSG00000136371,HGNC:7437,,,1.023,0.965,0.694,0.93
14111-15,SL007206,TSP2,Thrombospondin-2,P35442,Protein,Human,20%,5.22E-12,101,3.485,0.022,0.024,0.033,0.933,30.965,294,389,1185,7.63,0.017,0.034,0.038,0.856,18.189,442,535,1495,No binding was observed with Cartilage oligomeric matrix protein or Thrombospondin-1.,,,30072576,,THBS2,7058,ENSG00000186340,HGNC:11786,,,1.23,0.94,0.934,0.933
14112-40,SL005213,RELT,Tumor necrosis factor receptor superfamily member 19L,Q969Z4,Protein,Human,20%,4.1E-12,95,6.613,0.077,0.091,0.119,0.72,4.934,495,752,1124,14.941,0.041,0.027,0.049,0.849,6.918,855,1140,1449,No closely related human proteins were available for specificity testing.,,,,29875488,RELT,84957,ENSG00000054967,HGNC:13764,,,2.111,0.683,0.992,0.58
14114-18,SL019019,PIANP,PILR alpha-associated neural protein,Q8IYJ0,Protein,Human,20%,3.02E-11,69,29.137,0.027,0.025,0.037,0.913,51.55,1109,1966,3084,34.141,0.013,0.03,0.032,0.854,18.356,1333,1829,2798,No closely related human proteins were available for specificity testing.,,,,29875488,PIANP,196500,ENSG00000139200,HGNC:25338,,,1.124,0.95,0.725,0.907
14115-34,SL002782,Adrenomedullin,Adrenomedullin,P35318,Protein,Human,0.5%,2.48E-11,64,28.529,0.016,0.03,0.034,0.706,16.221,2081,2440,2882,51.754,0.02,0.018,0.027,0.795,13.434,2595,3104,3662,No binding was observed with Midregional Proadrenomedullin .,29875488,,,,ADM,133,ENSG00000148926,HGNC:259,,,1.056,0.892,0.891,0.611
14116-129,SL004821,S100A4,Protein S100-A4,P26447,Protein,Human,0.5%,5.8E-11,200,13.15,0.055,0.048,0.073,0.891,13.412,1645,3330,6626,9.955,0.047,0.033,0.057,0.765,1.869,1391,2046,3263,"No binding was observed with Protein S100-A2, Protein S100-A6, Protein S100-A5, S100B or Protein S100-A3.",,,,29875488,S100A4,6275,ENSG00000196154,HGNC:10494,,,0.87,0.916,0.456,0.549
14120-2,SL018629,RNF43,E3 ubiquitin-protein ligase RNF43,Q68DV7,Protein,Human,20%,8.36E-12,88,15.391,0.035,0.097,0.103,0.878,0.775,885,1399,2629,20.283,0.06,0.039,0.072,0.76,3.424,1223,1711,2821,No closely related human proteins were available for specificity testing.,,,,,RNF43,54894,ENSG00000108375,HGNC:18505,,,1.359,0.783,0.907,0.763
14121-24,SL004159,TRAIL R4,Tumor necrosis factor receptor superfamily member 10D,Q9UBN6,Protein,Human,20%,6E-12,83,12.565,0.084,0.058,0.103,0.674,77.486,609,1060,1699,17.429,0.104,0.065,0.123,0.488,1.462,850,1358,1688,"No binding was observed with Tumor necrosis factor receptor superfamily member 10A, TRAIL R3 or Tumor necrosis factor receptor superfamily member 10B.",,,,,TNFRSF10D,8793,ENSG00000173530,HGNC:11907,,,1.535,0.551,0.937,0.585
14122-132,SL018971,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,Q9ULT6,Protein,Human,20%,3.38E-12,78,5.913,0.027,0.027,0.038,0.871,7.653,460,565,5296,10.308,0.015,0.012,0.02,0.751,8.943,559,611,3060,No closely related human proteins were available for specificity testing.,,,,,ZNRF3,84133,ENSG00000183579,HGNC:18126,,,1.637,0.94,1.154,0.939
14123-34,SL025873,GI24:ECD,V-type immunoglobulin domain-containing suppressor of T-cell activation:Extracellular domain,Q9H7M9,Protein,Human,20%,6.88E-12,91,55.17,0.042,0.046,0.062,0.88,14.063,4524,7886,15587,70.227,0.049,0.028,0.057,0.906,0.355,4810,6652,8954,No closely related human proteins were available for specificity testing.,,,,29875488|30072576,VSIR,64115,ENSG00000107738,HGNC:30085,,,1.005,0.802,0.601,0.843
14124-6,SL004843,Ephrin-A2,Ephrin-A2,O43921,Protein,Human,20%,2.18E-12,52,81.268,0.031,0.03,0.043,0.883,27.101,2594,4479,7071,57.657,0.019,0.018,0.026,0.852,14.679,2143,2822,4476,"Binding was observed with Ephrin-A5 with similar affinity.  No binding was observed with Ephrin-A1, Ephrin-A3 or Ephrin-A4.",,,,,EFNA2,1943,ENSG00000099617,HGNC:3222,,,1.037,0.954,0.651,0.856
14127-240,SL001880,IFN-b,Interferon beta,P01574,Protein,Human,20%,9.36E-12,55,9.847,0.022,0.037,0.044,0.907,807.982,442,592,1396,13.993,0.018,0.023,0.029,0.91,13.363,525,632,1281,"No binding was observed with Interferon alpha-10, Interferon alpha-7, Interferon alpha-2, Interferon alpha-4 or Interferon omega-1.",,,,,IFNB1,3456,ENSG00000171855,HGNC:5434,,,1.363,0.943,0.872,0.925
14128-121,SL017106,IFN10,Interferon alpha-10,P01566,Protein,Human,20%,8.2E-12,36,6.614,0.033,0.018,0.037,0.833,19.342,212,283,1044,8.372,0.033,0.027,0.043,0.722,18.087,214,272,712,"Binding was observed with Interferon alpha-4 with at least 10x weaker affinity.  No binding was observed with Interferon alpha-7, Interferon alpha-21, Interferon alpha-14, Interferon alpha-5, Interferon alpha-6, Interferon alpha-1/13 or Interferon alpha-8.",,,,,IFNA10,3446,ENSG00000186803,HGNC:5418,,,1.387,0.961,0.96,0.949
14129-1,SL019978,IFNA7,Interferon alpha-7,P01567,Protein,Human,20%,3.01E-12,74,3.612,0.023,0.052,0.057,0.948,25.657,226,296,879,7.773,0.015,0.02,0.025,0.91,29.453,342,399,923,"Binding was observed with Interferon alpha-4, Interferon alpha-10, Interferon alpha-14 and Interferon alpha-5 with at least 10x weaker affinity.  No binding was observed with Interferon alpha-1/13, Interferon alpha-21, Interferon alpha-2 or Interferon alpha-6.",,,,,IFNA7,3444,ENSG00000214042,HGNC:5428,,,1.348,0.915,0.928,0.906
14131-37,SL025841,EFNB2:ECD,Ephrin-B2:Extracellular domain,P52799,Protein,Human,20%,3.23E-11,74,101.527,0.034,0.039,0.051,0.891,33.382,4184,8560,15368,127.302,0.028,0.023,0.037,0.878,23.513,5399,8372,15050,Binding was observed with Ephrin-B3 with at least 10x weaker affinity.  No binding was observed with Ephrin-B1.,,,,30072576,EFNB2,1948,ENSG00000125266,HGNC:3227,,,1.05,0.934,0.684,0.809
14132-21,SL020171,HHLA2,HERV-H LTR-associating protein 2,Q9UM44,Protein,Human,0.5%,4.01E-11,68,5.476,0.013,0.046,0.048,0.924,6.653,361,457,1159,177.674,0.02,0.021,0.029,0.949,45.165,7565,11251,14480,No closely related human proteins were available for specificity testing.,,,,,HHLA2,11148,ENSG00000114455,HGNC:4905,,,0.95,0.954,1.015,0.788
14133-93,SL000145,IL-1 sRII,Interleukin-1 receptor type 2,P27930,Protein,Human,0.5%,2.47E-12,86,118.02,0.014,0.019,0.023,0.967,91.084,6102,8870,13648,108.075,0.019,0.011,0.022,0.96,24.798,6723,9256,14239,No binding was observed with Interleukin-1 receptor type 1 or X-linked interleukin-1 receptor accessory protein-like 2.,29875488,,,30072576|29875488,IL1R2,7850,ENSG00000115590,HGNC:5994,,,1.053,0.973,0.851,0.923
14134-49,SL015046,AMGO2,Amphoterin-induced protein 2,Q86SJ2,Protein,Human,20%,2.93E-12,37,43.695,0.21,0.109,0.237,0.588,2.075,406,1333,2012,50.247,0.344,0.199,0.397,0.586,1.168,617,1699,2319,No closely related human proteins were available for specificity testing.,,,,,AMIGO2,347902,ENSG00000139211,HGNC:24073,,,1.086,0.519,0.636,0.273
14135-3,SL020172,RXFP1,Relaxin receptor 1,Q9HBX9,Protein,Human,20%,5.01E-12,61,5.678,0.027,0.035,0.044,0.781,29.529,359,430,580,17.348,0.017,0.012,0.021,0.87,16.027,633,767,885,No closely related human proteins were available for specificity testing.,,,,,RXFP1,59350,ENSG00000171509,HGNC:19718,,,1.293,0.959,0.907,0.893
14136-234,SL007696,C1QR1,Complement component C1q receptor,Q9NPY3,Protein,Human,0.5%,1.62E-11,76,89.082,0.024,0.024,0.034,0.949,35.531,4554,7009,10569,95.684,0.026,0.013,0.029,0.933,38.642,4748,7310,11005,No closely related human proteins were available for specificity testing.,,,,,CD93,22918,ENSG00000125810,HGNC:15855,,,0.982,0.958,0.761,0.852
14139-16,SL007828,NRG4,Neuregulin-4,Q8WWG1,Protein,Human,20%,8.45E-12,72,6.384,0.035,0.036,0.051,0.735,4.448,468,562,1445,14.073,0.014,0.013,0.019,0.749,4.097,664,759,1309,"No binding was observed with Pro-neuregulin-2, membrane-bound isoform, Neuregulin-1, sensory and motor neuron-derived factor isoform or Neuregulin-1.",,,,,NRG4,145957,ENSG00000169752,HGNC:29862,,,1.334,0.932,0.907,0.939
14143-8,SL014983,H2B2E,Histone H2B type 2-E,Q16778,Protein,Human,20%,5.28E-11,2554,1.687,0.052,0.069,0.086,0.777,4.216,3709,7702,52180,12.089,0.072,0.059,0.093,0.937,14.31,9597,20646,58386,Binding was observed with Histone H2B type 1-H and Histone H2B type 3-B with similar affinity.,,,,,H2BC21,8349,ENSG00000184678,HGNC:4760,,,1.034,0.883,0.694,0.597
14144-3,SL019979,H2A3,Histone H2A type 3,Q7L7L0,Protein,Human,20%,2E-11,564,3.43,0.061,0.07,0.093,0.754,1.82,1405,2396,20434,10.312,0.042,0.042,0.059,0.94,35.14,3098,5447,21893,"Binding was observed with Histone H2A.x, Core histone macro-H2A.1 and Histone H2A.z with similar affinity.",,,,,H2AW,92815,ENSG00000284841|ENSG00000181218,HGNC:20507,,,1.137,0.87,0.683,0.522
14146-92,SL008158,H31,Histone H3.1,P68431,Protein,Human,20%,8.4E-11,633,1.103,0.043,0.051,0.066,0.663,6.1,614,864,3013,1.919,0.075,0.048,0.089,0.624,39.22,785,1099,2076,No binding was observed with Histone H3.1t.,,,,,H3C1,8350,ENSG00000197153|ENSG00000275379|ENSG00000274750|ENSG00000287080|ENSG00000277775|ENSG00000197409|ENSG00000286522|ENSG00000273983|ENSG00000278828|ENSG00000275714,HGNC:4766,,,1.23,0.673,0.791,0.565
14149-9,SL005179,IL-1F8,Interleukin-36 beta,Q9NZH7,Protein,Human,20%,4.67E-12,101,5.452,0.038,0.049,0.062,0.74,1647.213,577,679,1300,13.658,0.016,0.018,0.024,0.745,12.44,873,1000,1391,No binding was observed with Interleukin-36 alpha.,,,,,IL36B,27177,ENSG00000136696,HGNC:15564,,,1.282,0.825,0.886,0.648
14150-7,SL005177,IL-1F6,Interleukin-36 alpha,Q9UHA7,Protein,Human,0.5%,1.51E-11,80,12.7,0.055,0.058,0.081,0.492,0.585,1069,2267,6275,25.607,0.057,0.044,0.072,0.84,0.783,1916,4721,9903,"No binding was observed with Interleukin-36 gamma, Interleukin-36 beta or Interleukin-37.",,,,,IL36A,27179,ENSG00000136694,HGNC:15562,,,0.859,0.751,0.754,0.398
14151-4,SL015510,UCRP,Ubiquitin-like protein ISG15,P05161,Protein,Human,20%,8.76E-12,52,17.534,0.022,0.021,0.03,0.883,1054.336,921,1663,3947,23.883,0.025,0.023,0.033,0.934,1.582,815,1043,2734,No closely related human proteins were available for specificity testing.,,,,30072576|29875488,ISG15,9636,ENSG00000187608,HGNC:4053,,,1.204,0.977,0.747,0.925
14153-8,SL004139,Ephrin-A3,Ephrin-A3,P52797,Protein,Human,20%,2.54E-12,86,11.347,0.031,0.025,0.04,0.972,125.694,715,1002,1665,15.452,0.012,0.008,0.015,0.883,10.772,886,1077,1647,"Binding was observed with Ephrin-A2 with at least 10x weaker affinity.  No binding was observed with Ephrin-A1, Ephrin-A4 or Ephrin-A5.",,,,,EFNA3,1944,ENSG00000143590,HGNC:3223,,,1.151,0.963,0.763,0.942
14156-33,SL004815,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,P31946,Protein,Human,0.5%,2.07E-12,572,86.4,0.021,0.014,0.025,0.984,114.984,4318,23191,55548,4.493,0.017,0.015,0.023,0.974,70.333,2610,3929,6339,Binding was observed with 14-3-3 protein zeta/delta with at least 10x weaker affinity.  No binding was observed with 14-3-3 protein theta or 14-3-3 protein epsilon.,,,,30072576,YWHAB,7529,ENSG00000166913,HGNC:12849,,,1.426,0.943,1.505,0.904
14157-21,SL004984,14-3-3E,14-3-3 protein epsilon,P62258,Protein,Human,20%,1.09E-11,89,21.469,0.028,0.058,0.064,0.9,92.782,1653,2097,3074,26.544,0.022,0.018,0.028,0.898,27.776,1862,2396,4057,"No binding was observed with 14-3-3 protein zeta/delta, 14-3-3 protein theta or 14-3-3 protein beta/alpha.",,,,,YWHAE,7531,ENSG00000108953|ENSG00000274474,HGNC:12851,,,2.337,0.898,1.85,0.654
14158-17,SL003848,Annexin V,Annexin A5,P08758,Protein,Human,20%,4.69E-11,140,3.61,0.023,0.02,0.03,0.918,18.908,420,568,4997,8.25,0.017,0.017,0.024,0.927,20.403,549,684,4446,"No binding was observed with Annexin A8, Annexin A6 or Annexin A4.",,,,,ANXA5,308,ENSG00000164111,HGNC:543,,,1.371,0.984,0.98,0.978
14175-78,SL019907,SCP2D,SCP2 sterol-binding domain-containing protein 1,Q9UJQ7,Protein,Human,20%,5.8E-13,35,14.967,0.026,0.02,0.033,0.975,138.956,254,594,1808,17.998,0.019,0.012,0.022,0.982,3378.897,327,609,1631,,,,,,SCP2D1,140856,ENSG00000132631,HGNC:16211,,,1.022,0.981,0.721,0.955
14178-18,SL007463,CDKN3,Cyclin-dependent kinase inhibitor 3,Q16667,Protein,Human,20%,5.88E-11,102,6.491,0.032,0.033,0.046,0.776,11.183,594,789,2124,8.162,0.023,0.021,0.031,0.952,38.125,572,780,2858,,,,,,CDKN3,1033,ENSG00000100526,HGNC:1791,,,1.549,0.974,0.975,0.952
14186-13,SL019795,RFFL,E3 ubiquitin-protein ligase rififylin,Q8WZ73,Protein,Human,20%,2.46E-11,65,50.063,0.073,0.046,0.086,0.797,3.063,2202,3612,10350,61.128,0.099,0.05,0.111,0.845,71.611,2046,3439,7478,,,,,,RFFL,117584,ENSG00000092871,HGNC:24821,,,1.384,0.963,0.938,0.898
14192-31,SL019930,PDCL2,Phosducin-like protein 2,Q8N4E4,Protein,Human,20%,1.83E-10,120,10.901,0.035,0.041,0.054,0.706,9.871,1372,1669,2532,30.912,0.022,0.018,0.029,0.858,13.695,2470,3030,3582,,,,,,PDCL2,132954,ENSG00000163440,HGNC:29524,,,2.966,0.762,1.234,0.844
14197-2,SL019864,PRDM1,PR domain zinc finger protein 1,O75626,Protein,Human,20%,1.82E-11,132,5.511,0.147,0.094,0.174,0.658,2.681,416,864,1460,6.392,0.162,0.098,0.189,0.359,1.365,399,809,1327,,,,,,PRDM1,639,ENSG00000057657,HGNC:9346,,,1.332,0.639,1.089,0.611
14203-3,SL008375,ANXA7,Annexin A7,P20073,Protein,Human,20%,2.88E-11,134,108.014,0.031,0.042,0.052,0.933,28.796,7580,34355,54885,28.083,0.056,0.043,0.071,0.946,0.913,1625,2530,6602,"Binding was observed with Annexin A1 with at least 10x weaker affinity.  No binding was observed with Annexin A2, Annexin A3, Annexin A11, Annexin A13, Annexin A8, Annexin A5 or Annexin A6.",,,30072576,,ANXA7,310,ENSG00000138279,HGNC:545,,,4.078,0.927,1.728,0.837
14204-55,SL019533,FOXJ2,Forkhead box protein J2,Q9P0K8,Protein,Human,0.5%,4.47E-11,54,4.045,0.037,0.045,0.058,0.947,86.029,201,312,1449,10.171,0.015,0.016,0.022,0.855,4.082,410,512,1175,,,,,,FOXJ2,55810,ENSG00000065970,HGNC:24818,,,1.197,0.963,1.015,0.908
14205-6,SL019865,HEXI2,Protein HEXIM2,Q96MH2,Protein,Human,20%,1.28E-11,111,4.481,0.019,0.014,0.024,0.964,41.222,425,862,1826,4.847,0.02,0.059,0.062,0.823,11.951,371,416,630,,,,,,HEXIM2,124790,ENSG00000168517,HGNC:28591,,,1.293,0.938,0.885,0.909
14206-28,SL025794,APBB1:PID 2,Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 2,O00213,Protein,Human,20%,3.15E-11,27,4.496,0.042,0.04,0.058,0.764,109.312,127,164,235,7.966,0.024,0.024,0.034,0.371,8.122,140,166,240,,,,,,APBB1,322,ENSG00000166313,HGNC:581,,,1.103,0.884,0.813,0.896
14208-3,SL019932,RET7,Retinoid-binding protein 7,Q96R05,Protein,Human,20%,6.49E-13,50,38.76,0.093,0.093,0.131,0.609,5.53,1367,2436,3965,62.927,0.051,0.03,0.059,0.794,5.918,2098,3274,4960,,,,,,RBP7,116362,ENSG00000162444,HGNC:30316,,,1.055,0.799,0.777,0.61
14216-35,SL019957,DDX46,Probable ATP-dependent RNA helicase DDX46,Q7L014,Protein,Human,20%,2.38E-10,50,9.012,0.117,0.125,0.171,0.771,4.933,347,612,1128,11.337,0.056,0.051,0.076,0.572,4.678,340,479,782,,,,,,DDX46,9879,ENSG00000145833,HGNC:18681,,,0.987,0.723,0.809,0.65
14226-120,SL008524,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Q9H2M3,Protein,Human,20%,4.06E-11,81,12.855,0.034,0.081,0.088,0.731,3.761,988,1268,1977,81.417,0.015,0.012,0.02,0.945,29.711,4355,5523,7174,,,,,,BHMT2,23743,ENSG00000132840,HGNC:1048,,,1.398,0.892,0.98,0.805
14227-21,SL008040,MYL6B,Myosin light chain 6B,P14649,Protein,Human,20%,3.03E-11,67,7.98,0.018,0.021,0.027,0.941,44.016,536,764,1501,11.31,0.018,0.011,0.021,0.953,63.424,475,634,1314,,,,,,MYL6B,140465,ENSG00000196465,HGNC:29823,,,1.319,0.956,0.883,0.94
14228-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,Protein,Mouse,20%,,69,5.152,0.082,0.085,0.118,0.814,5.4,316,459,789,9.99,0.042,0.029,0.051,0.669,3.793,413,537,843,,,,,,Igh,,,,PCD15,Q96QU1,1.344,0.81,0.958,0.735
14229-5,SL019900,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3,O95396,Protein,Human,20%,7.4E-11,97,22.408,0.104,0.108,0.15,0.774,5.596,1455,2623,4554,21.268,0.084,0.053,0.099,0.539,2.574,1271,2091,3308,,,,,,MOCS3,27304,ENSG00000124217,HGNC:15765,,,1.172,0.587,0.87,0.51
14237-1,SL000451,HSP 70,Heat shock 70 kDa protein 1A,P0DMV8,Protein,Human,0.005%,4.81E-12,82,19.51,0.063,0.079,0.101,0.781,4.612,1229,1707,2282,21.984,0.037,0.035,0.051,0.694,1.486,1303,1760,2391,,,,,,HSPA1A,3303,ENSG00000234475|ENSG00000204389|ENSG00000215328|ENSG00000235941|ENSG00000237724,HGNC:5232,K1C23,Q9C075,1.631,0.694,1.414,0.779
14245-195,SL019901,SNX7,Sorting nexin-7,Q9UNH6,Protein,Human,20%,1.33E-12,31,8.308,0.166,0.132,0.212,0.709,3.221,130,333,795,10.105,0.123,0.063,0.138,0.298,1.431,148,287,544,,,,,,SNX7,51375,ENSG00000162627,HGNC:14971,,,1.27,0.671,0.943,0.577
14246-50,SL016379,DOK2,Docking protein 2,O60496,Protein,Human,20%,6.23E-11,58,23.123,0.029,0.017,0.034,0.941,67.808,641,3517,8239,14.655,0.036,0.044,0.057,0.962,0.551,391,603,2137,No binding was observed with Docking protein 1.,,,,,DOK2,9046,ENSG00000147443,HGNC:2991,,,1.371,0.979,1.024,0.926
14249-68,SL019794,TRIM1,Probable E3 ubiquitin-protein ligase MID2,Q9UJV3,Protein,Human,20%,5.74E-13,69,4.611,0.074,0.062,0.097,0.621,2.576,257,377,854,5.965,0.062,0.041,0.074,0.347,1.422,252,353,554,,,,,,MID2,11043,ENSG00000080561,HGNC:7096,,,1.461,0.826,1.148,0.809
14250-115,SL008191,BLMH,Bleomycin hydrolase,Q13867,Protein,Human,20%,6.69E-11,63,2.657,0.022,0.021,0.031,0.859,26.1,172,215,547,6.096,0.023,0.017,0.029,0.864,47.271,245,280,564,,,,,,BLMH,642,ENSG00000108578,HGNC:1059,,,1.229,0.923,0.867,0.94
